"","","","","","","","","","","pred"
"63",6,0,0,0,0.734598569999144,9.83544963590975e-85,1.59545148595604e-314,1.59545148595604e-314,1.59545148595604e-314,1
"64",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"65",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"66",4,0,0,0,0.869015634853711,9.30517796287652e-57,6.92299785750156e-315,6.92299785750156e-315,6.92299785750156e-315,1
"67",3,0,0,0,0.911281578665549,8.72622006436487e-43,4.396790166406e-315,4.396790166406e-315,4.396790166406e-315,1
"68",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"69",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"70",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"71",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"72",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"73",14,0,0,0,0.0773628590109678,2.53200663176726e-197,9.28183201620584e-314,9.28183201620584e-314,9.28183201620584e-314,1
"74",3,0,0,0,0.911281578665549,8.72622006436487e-43,4.396790166406e-315,4.396790166406e-315,4.396790166406e-315,1
"75",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"76",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"77",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"78",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"79",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"80",8,0,0,0,0.535907628572056,8.9718318684662e-113,3.17314838004722e-314,3.17314838004722e-314,3.17314838004722e-314,1
"81",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"82",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"83",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"84",8,0,0,0,0.535907628572056,8.9718318684662e-113,3.17314838004722e-314,3.17314838004722e-314,3.17314838004722e-314,1
"85",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"86",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"87",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"88",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"89",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"90",5,0,0,0,0.810794654730465,9.70803858325855e-71,1.06650020329691e-314,1.06650020329691e-314,1.06650020329691e-314,1
"91",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"92",5,0,0,0,0.810794654730465,9.70803858325855e-71,1.06650020329691e-314,1.06650020329691e-314,1.06650020329691e-314,1
